model,metric,value,taxon
Salamandra.atra.north_AllData_RUN1_GLM,ROC,0.94,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GLM,TSS,0.8,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GBM,ROC,0.975,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GBM,TSS,0.882,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GAM,ROC,0.961,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GAM,TSS,0.837,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_RF,ROC,0.975,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_RF,TSS,0.877,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_ANN,ROC,0.891,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_ANN,TSS,0.78,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MAXENT.Phillips,ROC,0.495,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MAXENT.Phillips,TSS,0,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_CTA,ROC,0.968,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_CTA,TSS,0.868,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MARS,ROC,0.965,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MARS,TSS,0.83,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GLM,ROC,0.95,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GLM,TSS,0.825,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GBM,ROC,0.965,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GBM,TSS,0.925,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GAM,ROC,0.924,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GAM,TSS,0.767,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_RF,ROC,0.969,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_RF,TSS,0.921,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_ANN,ROC,0.97,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_ANN,TSS,0.834,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MAXENT.Phillips,ROC,0.852,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MAXENT.Phillips,TSS,0.704,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_CTA,ROC,0.567,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_CTA,TSS,0.514,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MARS,ROC,0.948,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MARS,TSS,0.81,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GLM,ROC,0.954,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GLM,TSS,0.897,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GBM,ROC,0.975,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GBM,TSS,0.907,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GAM,ROC,0.982,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GAM,TSS,0.918,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_RF,ROC,0.973,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_RF,TSS,0.892,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_ANN,ROC,0.988,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_ANN,TSS,0.951,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MAXENT.Phillips,ROC,0.954,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MAXENT.Phillips,TSS,0.897,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_CTA,ROC,0.961,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_CTA,TSS,0.89,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MARS,ROC,0.974,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MARS,TSS,0.885,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GLM,ROC,0.931,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GLM,TSS,0.846,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GBM,ROC,0.979,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GBM,TSS,0.941,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GAM,ROC,0.977,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GAM,TSS,0.922,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_RF,ROC,0.98,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_RF,TSS,0.922,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_ANN,ROC,0.964,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_ANN,TSS,0.883,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MAXENT.Phillips,ROC,0.964,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MAXENT.Phillips,TSS,0.928,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_CTA,ROC,0.88,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_CTA,TSS,0.75,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MARS,ROC,0.971,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MARS,TSS,0.887,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GLM,ROC,0.979,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GLM,TSS,0.905,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GBM,ROC,0.945,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GBM,TSS,0.861,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GAM,ROC,0.965,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GAM,TSS,0.886,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_RF,ROC,0.958,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_RF,TSS,0.846,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_ANN,ROC,0.975,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_ANN,TSS,0.935,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MAXENT.Phillips,ROC,0.826,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MAXENT.Phillips,TSS,0.659,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_CTA,ROC,0.925,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_CTA,TSS,0.859,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MARS,ROC,0.984,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MARS,TSS,0.925,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,KAPPA,0.838,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,TSS,0.875,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,ROC,0.975,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,KAPPA,0.752,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,TSS,0.882,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,ROC,0.968,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,KAPPA,0.856,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,TSS,0.907,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,ROC,0.977,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,KAPPA,0.88,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,TSS,0.91,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,ROC,0.979,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,KAPPA,0.873,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,TSS,0.941,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,ROC,0.98,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GLM,boyce,0.833,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GBM,boyce,0.841,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GAM,boyce,0.771,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_RF,boyce,0.831,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_ANN,boyce,0.187,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MAXENT.Phillips,boyce,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_CTA,boyce,0.643,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MARS,boyce,0.867,Salamandra_atra_north
