model,metric,value,taxon
Salamandra.atra.south_AllData_RUN1_GLM,ROC,0.969,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GLM,TSS,0.883,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GBM,ROC,0.985,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GBM,TSS,0.893,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GAM,ROC,0.816,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GAM,TSS,0.631,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_RF,ROC,0.969,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_RF,TSS,0.888,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_ANN,ROC,0.969,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_ANN,TSS,0.712,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MAXENT.Phillips,ROC,0.813,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MAXENT.Phillips,TSS,0.626,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_CTA,ROC,0.554,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_CTA,TSS,0.364,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MARS,ROC,0.915,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MARS,TSS,0.873,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GLM,ROC,0.984,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GLM,TSS,0.944,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GBM,ROC,0.978,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GBM,TSS,0.934,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GAM,ROC,0.726,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GAM,TSS,0.46,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_RF,ROC,0.977,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_RF,TSS,0.904,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_ANN,ROC,0.932,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_ANN,TSS,0.829,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MAXENT.Phillips,ROC,0.69,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MAXENT.Phillips,TSS,0.38,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_CTA,ROC,0.573,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_CTA,TSS,0.485,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MARS,ROC,0.969,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MARS,TSS,0.844,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GLM,ROC,0.967,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GLM,TSS,0.845,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GBM,ROC,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GBM,TSS,0.916,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GAM,ROC,0.903,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GAM,TSS,0.808,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_RF,ROC,0.983,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_RF,TSS,0.916,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_ANN,ROC,0.985,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_ANN,TSS,0.86,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MAXENT.Phillips,ROC,0.832,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MAXENT.Phillips,TSS,0.665,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_CTA,ROC,0.966,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_CTA,TSS,0.916,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MARS,ROC,0.982,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MARS,TSS,0.893,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GLM,ROC,0.996,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GLM,TSS,0.982,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GBM,ROC,0.993,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GBM,TSS,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GAM,ROC,0.839,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GAM,TSS,0.682,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_RF,ROC,0.994,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_RF,TSS,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_ANN,ROC,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_ANN,TSS,0.995,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MAXENT.Phillips,ROC,0.924,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MAXENT.Phillips,TSS,0.848,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_CTA,ROC,0.959,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_CTA,TSS,0.945,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MARS,ROC,0.999,Salamandra_atra_south
