algorithm,fold,TSS,AUC,taxon
GLM,RUN1,0.883,0.969,Salamandra_atra_south
GLM,RUN2,0.944,0.984,Salamandra_atra_south
GLM,RUN3,0.845,0.967,Salamandra_atra_south
GLM,RUN4,0.982,0.996,Salamandra_atra_south
GLM,RUN5,0.864,0.97,Salamandra_atra_south
GBM,RUN1,0.893,0.985,Salamandra_atra_south
GBM,RUN2,0.934,0.978,Salamandra_atra_south
GBM,RUN3,0.916,0.986,Salamandra_atra_south
GBM,RUN4,0.986,0.993,Salamandra_atra_south
GBM,RUN5,0.958,0.988,Salamandra_atra_south
GAM,RUN1,0.631,0.816,Salamandra_atra_south
GAM,RUN2,0.46,0.726,Salamandra_atra_south
GAM,RUN3,0.808,0.903,Salamandra_atra_south
GAM,RUN4,0.682,0.839,Salamandra_atra_south
GAM,RUN5,0.724,0.862,Salamandra_atra_south
RF,RUN1,0.888,0.969,Salamandra_atra_south
RF,RUN2,0.904,0.977,Salamandra_atra_south
RF,RUN3,0.916,0.983,Salamandra_atra_south
RF,RUN4,0.986,0.994,Salamandra_atra_south
RF,RUN5,0.937,0.979,Salamandra_atra_south
ANN,RUN1,0.712,0.969,Salamandra_atra_south
ANN,RUN2,0.829,0.932,Salamandra_atra_south
ANN,RUN3,0.86,0.985,Salamandra_atra_south
ANN,RUN4,0.995,1,Salamandra_atra_south
ANN,RUN5,0.724,0.955,Salamandra_atra_south
MAXENT.Phillips,RUN1,0.626,0.813,Salamandra_atra_south
MAXENT.Phillips,RUN2,0.38,0.69,Salamandra_atra_south
MAXENT.Phillips,RUN3,0.665,0.832,Salamandra_atra_south
MAXENT.Phillips,RUN4,0.848,0.924,Salamandra_atra_south
MAXENT.Phillips,RUN5,0.739,0.87,Salamandra_atra_south
CTA,RUN1,0.364,0.554,Salamandra_atra_south
CTA,RUN2,0.485,0.573,Salamandra_atra_south
CTA,RUN3,0.916,0.966,Salamandra_atra_south
CTA,RUN4,0.945,0.959,Salamandra_atra_south
CTA,RUN5,0.734,0.872,Salamandra_atra_south
MARS,RUN1,0.873,0.915,Salamandra_atra_south
MARS,RUN2,0.844,0.969,Salamandra_atra_south
MARS,RUN3,0.893,0.982,Salamandra_atra_south
MARS,RUN4,0.991,0.999,Salamandra_atra_south
MARS,RUN5,0.937,0.985,Salamandra_atra_south
