variable_name,algorithm,fold,variable_importance
CHELSA_bio_03,GLM,RUN1,0
CHELSA_bio_05,GLM,RUN1,0.17
CHELSA_bio_06,GLM,RUN1,0
CHELSA_bio_08,GLM,RUN1,0
CHELSA_bio_09,GLM,RUN1,0.322
CHELSA_bio_13,GLM,RUN1,0.878
CHELSA_bio_14,GLM,RUN1,0.233
CHELSA_bio_15,GLM,RUN1,0.298
CHELSA_bio_03,GBM,RUN1,0.066
CHELSA_bio_05,GBM,RUN1,0.363
CHELSA_bio_06,GBM,RUN1,0.001
CHELSA_bio_08,GBM,RUN1,0.099
CHELSA_bio_09,GBM,RUN1,0.115
CHELSA_bio_13,GBM,RUN1,0.035
CHELSA_bio_14,GBM,RUN1,0.001
CHELSA_bio_15,GBM,RUN1,0.031
CHELSA_bio_03,GAM,RUN1,0.101
CHELSA_bio_05,GAM,RUN1,0.497
CHELSA_bio_06,GAM,RUN1,0.26
CHELSA_bio_08,GAM,RUN1,0.031
CHELSA_bio_09,GAM,RUN1,0.358
CHELSA_bio_13,GAM,RUN1,0.717
CHELSA_bio_14,GAM,RUN1,0.295
CHELSA_bio_15,GAM,RUN1,0.337
CHELSA_bio_03,RF,RUN1,0.064
CHELSA_bio_05,RF,RUN1,0.124
CHELSA_bio_06,RF,RUN1,0.04
CHELSA_bio_08,RF,RUN1,0.061
CHELSA_bio_09,RF,RUN1,0.088
CHELSA_bio_13,RF,RUN1,0.047
CHELSA_bio_14,RF,RUN1,0.013
CHELSA_bio_15,RF,RUN1,0.037
CHELSA_bio_03,ANN,RUN1,0.202
CHELSA_bio_05,ANN,RUN1,0.503
CHELSA_bio_06,ANN,RUN1,0.533
CHELSA_bio_08,ANN,RUN1,0.181
CHELSA_bio_09,ANN,RUN1,0.268
CHELSA_bio_13,ANN,RUN1,0.096
CHELSA_bio_14,ANN,RUN1,0.123
CHELSA_bio_15,ANN,RUN1,0.209
CHELSA_bio_03,MAXENT.Phillips,RUN1,0.057
CHELSA_bio_05,MAXENT.Phillips,RUN1,0.116
CHELSA_bio_06,MAXENT.Phillips,RUN1,0.039
CHELSA_bio_08,MAXENT.Phillips,RUN1,0.097
CHELSA_bio_09,MAXENT.Phillips,RUN1,0.207
CHELSA_bio_13,MAXENT.Phillips,RUN1,0.293
CHELSA_bio_14,MAXENT.Phillips,RUN1,0.097
CHELSA_bio_15,MAXENT.Phillips,RUN1,0.1
CHELSA_bio_03,CTA,RUN1,0.298
CHELSA_bio_05,CTA,RUN1,0.489
CHELSA_bio_06,CTA,RUN1,0.031
CHELSA_bio_08,CTA,RUN1,0.271
CHELSA_bio_09,CTA,RUN1,0.282
CHELSA_bio_13,CTA,RUN1,0.102
CHELSA_bio_14,CTA,RUN1,0
CHELSA_bio_15,CTA,RUN1,0.101
CHELSA_bio_03,MARS,RUN1,0.041
CHELSA_bio_05,MARS,RUN1,0.428
CHELSA_bio_06,MARS,RUN1,0
CHELSA_bio_08,MARS,RUN1,0.096
CHELSA_bio_09,MARS,RUN1,0.116
CHELSA_bio_13,MARS,RUN1,0.308
CHELSA_bio_14,MARS,RUN1,0.188
CHELSA_bio_15,MARS,RUN1,0.146
CHELSA_bio_03,GLM,RUN2,0
CHELSA_bio_05,GLM,RUN2,0.17
CHELSA_bio_06,GLM,RUN2,0
CHELSA_bio_08,GLM,RUN2,0.05
CHELSA_bio_09,GLM,RUN2,0.268
CHELSA_bio_13,GLM,RUN2,0.514
CHELSA_bio_14,GLM,RUN2,0.118
CHELSA_bio_15,GLM,RUN2,0.163
CHELSA_bio_03,GBM,RUN2,0.067
CHELSA_bio_05,GBM,RUN2,0.451
CHELSA_bio_06,GBM,RUN2,0.015
CHELSA_bio_08,GBM,RUN2,0.071
CHELSA_bio_09,GBM,RUN2,0.015
CHELSA_bio_13,GBM,RUN2,0.006
CHELSA_bio_14,GBM,RUN2,0.029
CHELSA_bio_15,GBM,RUN2,0.045
CHELSA_bio_03,GAM,RUN2,0.055
CHELSA_bio_05,GAM,RUN2,0.022
CHELSA_bio_06,GAM,RUN2,0.209
CHELSA_bio_08,GAM,RUN2,0.211
CHELSA_bio_09,GAM,RUN2,0.176
CHELSA_bio_13,GAM,RUN2,0.474
CHELSA_bio_14,GAM,RUN2,0.156
CHELSA_bio_15,GAM,RUN2,0.215
CHELSA_bio_03,RF,RUN2,0.073
CHELSA_bio_05,RF,RUN2,0.112
CHELSA_bio_06,RF,RUN2,0.097
CHELSA_bio_08,RF,RUN2,0.058
CHELSA_bio_09,RF,RUN2,0.048
CHELSA_bio_13,RF,RUN2,0.032
CHELSA_bio_14,RF,RUN2,0.022
CHELSA_bio_15,RF,RUN2,0.031
CHELSA_bio_03,ANN,RUN2,0.152
CHELSA_bio_05,ANN,RUN2,0.242
CHELSA_bio_06,ANN,RUN2,0.196
CHELSA_bio_08,ANN,RUN2,0.251
CHELSA_bio_09,ANN,RUN2,0.433
CHELSA_bio_13,ANN,RUN2,0.542
CHELSA_bio_14,ANN,RUN2,0.24
CHELSA_bio_15,ANN,RUN2,0.342
CHELSA_bio_03,MAXENT.Phillips,RUN2,0.034
CHELSA_bio_05,MAXENT.Phillips,RUN2,0.256
CHELSA_bio_06,MAXENT.Phillips,RUN2,0.025
CHELSA_bio_08,MAXENT.Phillips,RUN2,0.146
CHELSA_bio_09,MAXENT.Phillips,RUN2,0.091
CHELSA_bio_13,MAXENT.Phillips,RUN2,0.049
CHELSA_bio_14,MAXENT.Phillips,RUN2,0.079
CHELSA_bio_15,MAXENT.Phillips,RUN2,0.075
CHELSA_bio_03,CTA,RUN2,0.095
CHELSA_bio_05,CTA,RUN2,0.581
CHELSA_bio_06,CTA,RUN2,0.142
CHELSA_bio_08,CTA,RUN2,0.257
CHELSA_bio_09,CTA,RUN2,0.038
CHELSA_bio_13,CTA,RUN2,0.012
CHELSA_bio_14,CTA,RUN2,0.066
CHELSA_bio_15,CTA,RUN2,0.181
CHELSA_bio_03,MARS,RUN2,0.035
CHELSA_bio_05,MARS,RUN2,0.498
CHELSA_bio_06,MARS,RUN2,0
CHELSA_bio_08,MARS,RUN2,0.106
CHELSA_bio_09,MARS,RUN2,0.115
CHELSA_bio_13,MARS,RUN2,0.207
CHELSA_bio_14,MARS,RUN2,0.06
CHELSA_bio_15,MARS,RUN2,0.134
CHELSA_bio_03,GLM,RUN3,0
CHELSA_bio_05,GLM,RUN3,0.027
CHELSA_bio_06,GLM,RUN3,0
CHELSA_bio_08,GLM,RUN3,0.071
CHELSA_bio_09,GLM,RUN3,0.307
CHELSA_bio_13,GLM,RUN3,0.871
CHELSA_bio_14,GLM,RUN3,0.163
CHELSA_bio_15,GLM,RUN3,0.253
CHELSA_bio_03,GBM,RUN3,0.022
CHELSA_bio_05,GBM,RUN3,0.289
CHELSA_bio_06,GBM,RUN3,0.003
CHELSA_bio_08,GBM,RUN3,0.213
CHELSA_bio_09,GBM,RUN3,0.087
CHELSA_bio_13,GBM,RUN3,0.092
CHELSA_bio_14,GBM,RUN3,0.005
CHELSA_bio_15,GBM,RUN3,0.019
CHELSA_bio_03,GAM,RUN3,0.055
CHELSA_bio_05,GAM,RUN3,0.016
CHELSA_bio_06,GAM,RUN3,0.233
CHELSA_bio_08,GAM,RUN3,0.209
CHELSA_bio_09,GAM,RUN3,0.215
CHELSA_bio_13,GAM,RUN3,0.894
CHELSA_bio_14,GAM,RUN3,0.241
CHELSA_bio_15,GAM,RUN3,0.38
CHELSA_bio_03,RF,RUN3,0.04
CHELSA_bio_05,RF,RUN3,0.075
CHELSA_bio_06,RF,RUN3,0.045
CHELSA_bio_08,RF,RUN3,0.103
CHELSA_bio_09,RF,RUN3,0.063
CHELSA_bio_13,RF,RUN3,0.075
CHELSA_bio_14,RF,RUN3,0.028
CHELSA_bio_15,RF,RUN3,0.022
CHELSA_bio_03,ANN,RUN3,0.134
CHELSA_bio_05,ANN,RUN3,0.028
CHELSA_bio_06,ANN,RUN3,0.19
CHELSA_bio_08,ANN,RUN3,0.226
CHELSA_bio_09,ANN,RUN3,0.439
CHELSA_bio_13,ANN,RUN3,0.628
CHELSA_bio_14,ANN,RUN3,0.178
CHELSA_bio_15,ANN,RUN3,0.363
CHELSA_bio_03,MAXENT.Phillips,RUN3,0.06
CHELSA_bio_05,MAXENT.Phillips,RUN3,0.068
CHELSA_bio_06,MAXENT.Phillips,RUN3,0.125
CHELSA_bio_08,MAXENT.Phillips,RUN3,0.26
CHELSA_bio_09,MAXENT.Phillips,RUN3,0.335
CHELSA_bio_13,MAXENT.Phillips,RUN3,0.447
CHELSA_bio_14,MAXENT.Phillips,RUN3,0.12
CHELSA_bio_15,MAXENT.Phillips,RUN3,0.113
CHELSA_bio_03,CTA,RUN3,0.179
CHELSA_bio_05,CTA,RUN3,0.208
CHELSA_bio_06,CTA,RUN3,0
CHELSA_bio_08,CTA,RUN3,0.325
CHELSA_bio_09,CTA,RUN3,0.317
CHELSA_bio_13,CTA,RUN3,0.173
CHELSA_bio_14,CTA,RUN3,0.072
CHELSA_bio_15,CTA,RUN3,0
CHELSA_bio_03,MARS,RUN3,0
CHELSA_bio_05,MARS,RUN3,0.039
CHELSA_bio_06,MARS,RUN3,0.126
CHELSA_bio_08,MARS,RUN3,0.214
CHELSA_bio_09,MARS,RUN3,0.185
CHELSA_bio_13,MARS,RUN3,0.533
CHELSA_bio_14,MARS,RUN3,0.094
CHELSA_bio_15,MARS,RUN3,0.177
CHELSA_bio_03,GLM,RUN4,0
CHELSA_bio_05,GLM,RUN4,0.291
CHELSA_bio_06,GLM,RUN4,0.028
CHELSA_bio_08,GLM,RUN4,0.07
CHELSA_bio_09,GLM,RUN4,0.435
CHELSA_bio_13,GLM,RUN4,0.567
CHELSA_bio_14,GLM,RUN4,0.158
CHELSA_bio_15,GLM,RUN4,0.193
CHELSA_bio_03,GBM,RUN4,0.059
CHELSA_bio_05,GBM,RUN4,0.293
CHELSA_bio_06,GBM,RUN4,0.001
CHELSA_bio_08,GBM,RUN4,0.212
CHELSA_bio_09,GBM,RUN4,0.129
CHELSA_bio_13,GBM,RUN4,0.017
CHELSA_bio_14,GBM,RUN4,0.007
CHELSA_bio_15,GBM,RUN4,0.037
CHELSA_bio_03,GAM,RUN4,0.096
CHELSA_bio_05,GAM,RUN4,0.166
CHELSA_bio_06,GAM,RUN4,0.057
CHELSA_bio_08,GAM,RUN4,0.307
CHELSA_bio_09,GAM,RUN4,0.284
CHELSA_bio_13,GAM,RUN4,0.592
CHELSA_bio_14,GAM,RUN4,0.229
CHELSA_bio_15,GAM,RUN4,0.271
CHELSA_bio_03,RF,RUN4,0.058
CHELSA_bio_05,RF,RUN4,0.109
CHELSA_bio_06,RF,RUN4,0.03
CHELSA_bio_08,RF,RUN4,0.106
CHELSA_bio_09,RF,RUN4,0.114
CHELSA_bio_13,RF,RUN4,0.053
CHELSA_bio_14,RF,RUN4,0.019
CHELSA_bio_15,RF,RUN4,0.043
CHELSA_bio_03,ANN,RUN4,0.124
CHELSA_bio_05,ANN,RUN4,0.088
CHELSA_bio_06,ANN,RUN4,0.147
CHELSA_bio_08,ANN,RUN4,0.291
CHELSA_bio_09,ANN,RUN4,0.34
CHELSA_bio_13,ANN,RUN4,0.438
CHELSA_bio_14,ANN,RUN4,0.219
CHELSA_bio_15,ANN,RUN4,0.335
CHELSA_bio_03,MAXENT.Phillips,RUN4,0.176
CHELSA_bio_05,MAXENT.Phillips,RUN4,0.252
CHELSA_bio_06,MAXENT.Phillips,RUN4,0.079
CHELSA_bio_08,MAXENT.Phillips,RUN4,0.206
CHELSA_bio_09,MAXENT.Phillips,RUN4,0.249
CHELSA_bio_13,MAXENT.Phillips,RUN4,0.157
CHELSA_bio_14,MAXENT.Phillips,RUN4,0.113
CHELSA_bio_15,MAXENT.Phillips,RUN4,0.133
CHELSA_bio_03,CTA,RUN4,0.241
CHELSA_bio_05,CTA,RUN4,0.499
CHELSA_bio_06,CTA,RUN4,0
CHELSA_bio_08,CTA,RUN4,0.358
CHELSA_bio_09,CTA,RUN4,0.344
CHELSA_bio_13,CTA,RUN4,0
CHELSA_bio_14,CTA,RUN4,0
CHELSA_bio_15,CTA,RUN4,0.103
CHELSA_bio_03,MARS,RUN4,0
CHELSA_bio_05,MARS,RUN4,0.258
CHELSA_bio_06,MARS,RUN4,0
CHELSA_bio_08,MARS,RUN4,0.225
CHELSA_bio_09,MARS,RUN4,0.3
CHELSA_bio_13,MARS,RUN4,0.453
CHELSA_bio_14,MARS,RUN4,0.132
CHELSA_bio_15,MARS,RUN4,0.163
CHELSA_bio_03,GLM,RUN5,0.007
CHELSA_bio_05,GLM,RUN5,0.073
CHELSA_bio_06,GLM,RUN5,0
CHELSA_bio_08,GLM,RUN5,0.083
CHELSA_bio_09,GLM,RUN5,0.315
CHELSA_bio_13,GLM,RUN5,0.767
CHELSA_bio_14,GLM,RUN5,0.143
CHELSA_bio_15,GLM,RUN5,0.17
CHELSA_bio_03,GBM,RUN5,0.019
CHELSA_bio_05,GBM,RUN5,0.359
CHELSA_bio_06,GBM,RUN5,0.001
CHELSA_bio_08,GBM,RUN5,0.149
CHELSA_bio_09,GBM,RUN5,0.042
CHELSA_bio_13,GBM,RUN5,0.044
CHELSA_bio_14,GBM,RUN5,0.008
CHELSA_bio_15,GBM,RUN5,0.052
CHELSA_bio_03,GAM,RUN5,0.03
CHELSA_bio_05,GAM,RUN5,0.138
CHELSA_bio_06,GAM,RUN5,0.082
CHELSA_bio_08,GAM,RUN5,0.244
CHELSA_bio_09,GAM,RUN5,0.22
CHELSA_bio_13,GAM,RUN5,0.562
CHELSA_bio_14,GAM,RUN5,0.166
CHELSA_bio_15,GAM,RUN5,0.207
CHELSA_bio_03,RF,RUN5,0.052
CHELSA_bio_05,RF,RUN5,0.113
CHELSA_bio_06,RF,RUN5,0.033
CHELSA_bio_08,RF,RUN5,0.086
CHELSA_bio_09,RF,RUN5,0.053
CHELSA_bio_13,RF,RUN5,0.058
CHELSA_bio_14,RF,RUN5,0.024
