variable_name,algorithm,fold,variable_importance
CHELSA_bio_03,GLM,RUN1,0.038
CHELSA_bio_05,GLM,RUN1,0.035
CHELSA_bio_06,GLM,RUN1,0
CHELSA_bio_08,GLM,RUN1,0.011
CHELSA_bio_09,GLM,RUN1,0.935
CHELSA_bio_13,GLM,RUN1,0.888
CHELSA_bio_14,GLM,RUN1,0.282
CHELSA_bio_15,GLM,RUN1,0.332
CHELSA_bio_03,GBM,RUN1,0.186
CHELSA_bio_05,GBM,RUN1,0.007
CHELSA_bio_06,GBM,RUN1,0.011
CHELSA_bio_08,GBM,RUN1,0.17
CHELSA_bio_09,GBM,RUN1,0.553
CHELSA_bio_13,GBM,RUN1,0.023
CHELSA_bio_14,GBM,RUN1,0.006
CHELSA_bio_15,GBM,RUN1,0.006
CHELSA_bio_03,GAM,RUN1,0.264
CHELSA_bio_05,GAM,RUN1,0.177
CHELSA_bio_06,GAM,RUN1,0.538
CHELSA_bio_08,GAM,RUN1,0.122
CHELSA_bio_09,GAM,RUN1,0.369
CHELSA_bio_13,GAM,RUN1,0.78
CHELSA_bio_14,GAM,RUN1,0.356
CHELSA_bio_15,GAM,RUN1,0.409
CHELSA_bio_03,RF,RUN1,0.093
CHELSA_bio_05,RF,RUN1,0.035
CHELSA_bio_06,RF,RUN1,0.068
CHELSA_bio_08,RF,RUN1,0.103
CHELSA_bio_09,RF,RUN1,0.35
CHELSA_bio_13,RF,RUN1,0.036
CHELSA_bio_14,RF,RUN1,0.012
CHELSA_bio_15,RF,RUN1,0.026
CHELSA_bio_03,ANN,RUN1,0.191
CHELSA_bio_05,ANN,RUN1,0.4
CHELSA_bio_06,ANN,RUN1,0.676
CHELSA_bio_08,ANN,RUN1,0.03
CHELSA_bio_09,ANN,RUN1,0.648
CHELSA_bio_13,ANN,RUN1,0.919
CHELSA_bio_14,ANN,RUN1,0.424
CHELSA_bio_15,ANN,RUN1,0.496
CHELSA_bio_03,MAXENT.Phillips,RUN1,0
CHELSA_bio_05,MAXENT.Phillips,RUN1,0.012
CHELSA_bio_06,MAXENT.Phillips,RUN1,0.023
CHELSA_bio_08,MAXENT.Phillips,RUN1,0.043
CHELSA_bio_09,MAXENT.Phillips,RUN1,0
CHELSA_bio_13,MAXENT.Phillips,RUN1,0.025
CHELSA_bio_14,MAXENT.Phillips,RUN1,1
CHELSA_bio_15,MAXENT.Phillips,RUN1,0
CHELSA_bio_03,CTA,RUN1,0.258
CHELSA_bio_05,CTA,RUN1,0
CHELSA_bio_06,CTA,RUN1,0.079
CHELSA_bio_08,CTA,RUN1,0.311
CHELSA_bio_09,CTA,RUN1,0.711
CHELSA_bio_13,CTA,RUN1,0
CHELSA_bio_14,CTA,RUN1,0
CHELSA_bio_15,CTA,RUN1,0
CHELSA_bio_03,MARS,RUN1,0.111
CHELSA_bio_05,MARS,RUN1,0.066
CHELSA_bio_06,MARS,RUN1,0.212
CHELSA_bio_08,MARS,RUN1,0.072
CHELSA_bio_09,MARS,RUN1,0.68
CHELSA_bio_13,MARS,RUN1,0.729
CHELSA_bio_14,MARS,RUN1,0.271
CHELSA_bio_15,MARS,RUN1,0.32
CHELSA_bio_03,GLM,RUN2,0.11
CHELSA_bio_05,GLM,RUN2,0
CHELSA_bio_06,GLM,RUN2,0
CHELSA_bio_08,GLM,RUN2,0
CHELSA_bio_09,GLM,RUN2,0.798
CHELSA_bio_13,GLM,RUN2,0.664
CHELSA_bio_14,GLM,RUN2,0.3
CHELSA_bio_15,GLM,RUN2,0.269
CHELSA_bio_03,GBM,RUN2,0.377
CHELSA_bio_05,GBM,RUN2,0.01
CHELSA_bio_06,GBM,RUN2,0.002
CHELSA_bio_08,GBM,RUN2,0.015
CHELSA_bio_09,GBM,RUN2,0.62
CHELSA_bio_13,GBM,RUN2,0.004
CHELSA_bio_14,GBM,RUN2,0.007
CHELSA_bio_15,GBM,RUN2,0.006
CHELSA_bio_03,GAM,RUN2,0.423
CHELSA_bio_05,GAM,RUN2,0.156
CHELSA_bio_06,GAM,RUN2,0.549
CHELSA_bio_08,GAM,RUN2,0.077
CHELSA_bio_09,GAM,RUN2,0.403
CHELSA_bio_13,GAM,RUN2,0.453
CHELSA_bio_14,GAM,RUN2,0.267
CHELSA_bio_15,GAM,RUN2,0.094
CHELSA_bio_03,RF,RUN2,0.186
CHELSA_bio_05,RF,RUN2,0.047
CHELSA_bio_06,RF,RUN2,0.052
CHELSA_bio_08,RF,RUN2,0.042
CHELSA_bio_09,RF,RUN2,0.266
CHELSA_bio_13,RF,RUN2,0.016
CHELSA_bio_14,RF,RUN2,0.022
CHELSA_bio_15,RF,RUN2,0.037
CHELSA_bio_03,ANN,RUN2,0.21
CHELSA_bio_05,ANN,RUN2,0.554
CHELSA_bio_06,ANN,RUN2,0.561
CHELSA_bio_08,ANN,RUN2,0.065
CHELSA_bio_09,ANN,RUN2,0.632
CHELSA_bio_13,ANN,RUN2,0.666
CHELSA_bio_14,ANN,RUN2,0.264
CHELSA_bio_15,ANN,RUN2,0.299
CHELSA_bio_03,MAXENT.Phillips,RUN2,0.359
CHELSA_bio_05,MAXENT.Phillips,RUN2,0.348
CHELSA_bio_06,MAXENT.Phillips,RUN2,0.092
CHELSA_bio_08,MAXENT.Phillips,RUN2,0.065
CHELSA_bio_09,MAXENT.Phillips,RUN2,0.462
CHELSA_bio_13,MAXENT.Phillips,RUN2,0.226
CHELSA_bio_14,MAXENT.Phillips,RUN2,0.199
CHELSA_bio_15,MAXENT.Phillips,RUN2,0.123
CHELSA_bio_03,CTA,RUN2,0.455
CHELSA_bio_05,CTA,RUN2,0
CHELSA_bio_06,CTA,RUN2,0
CHELSA_bio_08,CTA,RUN2,0.089
CHELSA_bio_09,CTA,RUN2,0.718
CHELSA_bio_13,CTA,RUN2,0
CHELSA_bio_14,CTA,RUN2,0
CHELSA_bio_15,CTA,RUN2,0
CHELSA_bio_03,MARS,RUN2,0.146
CHELSA_bio_05,MARS,RUN2,0
CHELSA_bio_06,MARS,RUN2,0
CHELSA_bio_08,MARS,RUN2,0.169
CHELSA_bio_09,MARS,RUN2,0.518
CHELSA_bio_13,MARS,RUN2,0.139
CHELSA_bio_14,MARS,RUN2,0.222
CHELSA_bio_15,MARS,RUN2,0.062
CHELSA_bio_03,GLM,RUN3,0.041
CHELSA_bio_05,GLM,RUN3,0
CHELSA_bio_06,GLM,RUN3,0.016
CHELSA_bio_08,GLM,RUN3,0.05
CHELSA_bio_09,GLM,RUN3,0.917
CHELSA_bio_13,GLM,RUN3,0.621
CHELSA_bio_14,GLM,RUN3,0.221
CHELSA_bio_15,GLM,RUN3,0.205
CHELSA_bio_03,GBM,RUN3,0.282
CHELSA_bio_05,GBM,RUN3,0.007
CHELSA_bio_06,GBM,RUN3,0.01
CHELSA_bio_08,GBM,RUN3,0.147
CHELSA_bio_09,GBM,RUN3,0.648
CHELSA_bio_13,GBM,RUN3,0.002
CHELSA_bio_14,GBM,RUN3,0.004
CHELSA_bio_15,GBM,RUN3,0.006
CHELSA_bio_03,GAM,RUN3,0.33
CHELSA_bio_05,GAM,RUN3,0.115
CHELSA_bio_06,GAM,RUN3,0.349
CHELSA_bio_08,GAM,RUN3,0.175
CHELSA_bio_09,GAM,RUN3,0.323
CHELSA_bio_13,GAM,RUN3,0.506
CHELSA_bio_14,GAM,RUN3,0.264
CHELSA_bio_15,GAM,RUN3,0.169
CHELSA_bio_03,RF,RUN3,0.129
CHELSA_bio_05,RF,RUN3,0.05
CHELSA_bio_06,RF,RUN3,0.051
CHELSA_bio_08,RF,RUN3,0.085
CHELSA_bio_09,RF,RUN3,0.351
CHELSA_bio_13,RF,RUN3,0.02
CHELSA_bio_14,RF,RUN3,0.011
CHELSA_bio_15,RF,RUN3,0.021
CHELSA_bio_03,ANN,RUN3,0.226
CHELSA_bio_05,ANN,RUN3,0.705
CHELSA_bio_06,ANN,RUN3,0.714
CHELSA_bio_08,ANN,RUN3,0.07
CHELSA_bio_09,ANN,RUN3,0.527
CHELSA_bio_13,ANN,RUN3,0.546
CHELSA_bio_14,ANN,RUN3,0.235
CHELSA_bio_15,ANN,RUN3,0.256
CHELSA_bio_03,MAXENT.Phillips,RUN3,0.282
CHELSA_bio_05,MAXENT.Phillips,RUN3,0.045
CHELSA_bio_06,MAXENT.Phillips,RUN3,0.16
CHELSA_bio_08,MAXENT.Phillips,RUN3,0.219
CHELSA_bio_09,MAXENT.Phillips,RUN3,0.552
CHELSA_bio_13,MAXENT.Phillips,RUN3,0.214
CHELSA_bio_14,MAXENT.Phillips,RUN3,0.18
CHELSA_bio_15,MAXENT.Phillips,RUN3,0.156
CHELSA_bio_03,CTA,RUN3,0.297
CHELSA_bio_05,CTA,RUN3,0.031
CHELSA_bio_06,CTA,RUN3,0
CHELSA_bio_08,CTA,RUN3,0.27
CHELSA_bio_09,CTA,RUN3,0.736
CHELSA_bio_13,CTA,RUN3,0
CHELSA_bio_14,CTA,RUN3,0
CHELSA_bio_15,CTA,RUN3,0
CHELSA_bio_03,MARS,RUN3,0.192
CHELSA_bio_05,MARS,RUN3,0.029
CHELSA_bio_06,MARS,RUN3,0.194
CHELSA_bio_08,MARS,RUN3,0.335
