variable_name,algorithm,fold,variable_importance
CHELSA_bio_03,GLM,RUN1,0.318
CHELSA_bio_05,GLM,RUN1,0.329
CHELSA_bio_06,GLM,RUN1,0.739
CHELSA_bio_08,GLM,RUN1,0.463
CHELSA_bio_09,GLM,RUN1,0
CHELSA_bio_13,GLM,RUN1,0.795
CHELSA_bio_14,GLM,RUN1,0
CHELSA_bio_15,GLM,RUN1,0.173
CHELSA_bio_03,GBM,RUN1,0.078
CHELSA_bio_05,GBM,RUN1,0.004
CHELSA_bio_06,GBM,RUN1,0.001
CHELSA_bio_08,GBM,RUN1,0.3
CHELSA_bio_09,GBM,RUN1,0.009
CHELSA_bio_13,GBM,RUN1,0.151
CHELSA_bio_14,GBM,RUN1,0.313
CHELSA_bio_15,GBM,RUN1,0.01
CHELSA_bio_03,GAM,RUN1,0.493
CHELSA_bio_05,GAM,RUN1,0.404
CHELSA_bio_06,GAM,RUN1,0.622
CHELSA_bio_08,GAM,RUN1,0.547
CHELSA_bio_09,GAM,RUN1,0.677
CHELSA_bio_13,GAM,RUN1,0.473
CHELSA_bio_14,GAM,RUN1,0.871
CHELSA_bio_15,GAM,RUN1,0.35
CHELSA_bio_03,RF,RUN1,0.037
CHELSA_bio_05,RF,RUN1,0.021
CHELSA_bio_06,RF,RUN1,0.011
CHELSA_bio_08,RF,RUN1,0.094
CHELSA_bio_09,RF,RUN1,0.016
CHELSA_bio_13,RF,RUN1,0.103
CHELSA_bio_14,RF,RUN1,0.1
CHELSA_bio_15,RF,RUN1,0.017
CHELSA_bio_03,ANN,RUN1,0.232
CHELSA_bio_05,ANN,RUN1,0.201
CHELSA_bio_06,ANN,RUN1,0.329
CHELSA_bio_08,ANN,RUN1,0.415
CHELSA_bio_09,ANN,RUN1,0.087
CHELSA_bio_13,ANN,RUN1,0.593
CHELSA_bio_14,ANN,RUN1,0.59
CHELSA_bio_15,ANN,RUN1,0.305
CHELSA_bio_03,MAXENT.Phillips,RUN1,0.423
CHELSA_bio_05,MAXENT.Phillips,RUN1,0.479
CHELSA_bio_06,MAXENT.Phillips,RUN1,0.127
CHELSA_bio_08,MAXENT.Phillips,RUN1,0.385
CHELSA_bio_09,MAXENT.Phillips,RUN1,0.255
CHELSA_bio_13,MAXENT.Phillips,RUN1,0.226
CHELSA_bio_14,MAXENT.Phillips,RUN1,0.426
