algorithm,fold,TSS,AUC,taxon
GLM,RUN1,0.744,0.908,Salamandra_atra
GLM,RUN2,0.874,0.969,Salamandra_atra
GLM,RUN3,0.751,0.921,Salamandra_atra
GLM,RUN4,0.866,0.95,Salamandra_atra
GLM,RUN5,0.855,0.95,Salamandra_atra
GBM,RUN1,0.778,0.956,Salamandra_atra
GBM,RUN2,0.885,0.965,Salamandra_atra
GBM,RUN3,0.835,0.957,Salamandra_atra
GBM,RUN4,0.893,0.962,Salamandra_atra
GBM,RUN5,0.896,0.969,Salamandra_atra
GAM,RUN1,0.684,0.869,Salamandra_atra
GAM,RUN2,0.899,0.988,Salamandra_atra
GAM,RUN3,0.806,0.94,Salamandra_atra
GAM,RUN4,0.772,0.939,Salamandra_atra
GAM,RUN5,0.901,0.974,Salamandra_atra
RF,RUN1,0.801,0.96,Salamandra_atra
RF,RUN2,0.87,0.968,Salamandra_atra
RF,RUN3,0.838,0.959,Salamandra_atra
RF,RUN4,0.907,0.967,Salamandra_atra
RF,RUN5,0.901,0.975,Salamandra_atra
ANN,RUN1,0.838,0.962,Salamandra_atra
ANN,RUN2,0.855,0.967,Salamandra_atra
ANN,RUN3,0.841,0.938,Salamandra_atra
ANN,RUN4,0.879,0.97,Salamandra_atra
ANN,RUN5,0.877,0.964,Salamandra_atra
MAXENT.Phillips,RUN1,0.723,0.915,Salamandra_atra
MAXENT.Phillips,RUN2,0.888,0.968,Salamandra_atra
MAXENT.Phillips,RUN3,0.735,0.874,Salamandra_atra
MAXENT.Phillips,RUN4,0.411,0.698,Salamandra_atra
MAXENT.Phillips,RUN5,0.814,0.936,Salamandra_atra
CTA,RUN1,0.73,0.817,Salamandra_atra
CTA,RUN2,0.827,0.899,Salamandra_atra
CTA,RUN3,0.829,0.938,Salamandra_atra
CTA,RUN4,0.841,0.941,Salamandra_atra
CTA,RUN5,0.851,0.932,Salamandra_atra
MARS,RUN1,0.734,0.902,Salamandra_atra
MARS,RUN2,0.88,0.975,Salamandra_atra
MARS,RUN3,0.775,0.922,Salamandra_atra
MARS,RUN4,0.907,0.952,Salamandra_atra
MARS,RUN5,0.886,0.97,Salamandra_atra
