algorithm,fold,TSS,AUC,taxon
GLM,RUN1,0.858,0.947,Salamandra_atra_north
GLM,RUN2,0.786,0.921,Salamandra_atra_north
GLM,RUN3,0.881,0.962,Salamandra_atra_north
GLM,RUN4,0.886,0.949,Salamandra_atra_north
GLM,RUN5,0.932,0.989,Salamandra_atra_north
GBM,RUN1,0.865,0.961,Salamandra_atra_north
GBM,RUN2,0.873,0.947,Salamandra_atra_north
GBM,RUN3,0.907,0.987,Salamandra_atra_north
GBM,RUN4,0.918,0.974,Salamandra_atra_north
GBM,RUN5,0.887,0.953,Salamandra_atra_north
GAM,RUN1,0.842,0.943,Salamandra_atra_north
GAM,RUN2,0.817,0.938,Salamandra_atra_north
GAM,RUN3,0.935,0.99,Salamandra_atra_north
GAM,RUN4,0.912,0.972,Salamandra_atra_north
GAM,RUN5,0.9,0.964,Salamandra_atra_north
RF,RUN1,0.87,0.969,Salamandra_atra_north
RF,RUN2,0.892,0.955,Salamandra_atra_north
RF,RUN3,0.935,0.989,Salamandra_atra_north
RF,RUN4,0.909,0.98,Salamandra_atra_north
RF,RUN5,0.873,0.965,Salamandra_atra_north
ANN,RUN1,0.83,0.952,Salamandra_atra_north
ANN,RUN2,0.882,0.971,Salamandra_atra_north
ANN,RUN3,0.945,0.98,Salamandra_atra_north
ANN,RUN4,0.914,0.974,Salamandra_atra_north
ANN,RUN5,0.932,0.977,Salamandra_atra_north
MAXENT.Phillips,RUN1,0.818,0.909,Salamandra_atra_north
MAXENT.Phillips,RUN2,0.529,0.771,Salamandra_atra_north
MAXENT.Phillips,RUN3,0.885,0.953,Salamandra_atra_north
MAXENT.Phillips,RUN4,0.852,0.937,Salamandra_atra_north
MAXENT.Phillips,RUN5,0.795,0.903,Salamandra_atra_north
CTA,RUN1,0.816,0.929,Salamandra_atra_north
CTA,RUN2,0.755,0.856,Salamandra_atra_north
CTA,RUN3,0.89,0.946,Salamandra_atra_north
CTA,RUN4,0.778,0.895,Salamandra_atra_north
CTA,RUN5,0.841,0.927,Salamandra_atra_north
MARS,RUN1,0.86,0.943,Salamandra_atra_north
MARS,RUN2,0.82,0.934,Salamandra_atra_north
MARS,RUN3,0.918,0.983,Salamandra_atra_north
MARS,RUN4,0.918,0.973,Salamandra_atra_north
MARS,RUN5,0.892,0.97,Salamandra_atra_north
