model,metric,value,taxon
Salamandra.atra.north_AllData_RUN1_GLM,ROC,0.947,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GLM,TSS,0.858,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GBM,ROC,0.961,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GBM,TSS,0.865,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GAM,ROC,0.943,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GAM,TSS,0.842,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_RF,ROC,0.969,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_RF,TSS,0.87,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_ANN,ROC,0.952,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_ANN,TSS,0.83,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MAXENT.Phillips,ROC,0.909,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MAXENT.Phillips,TSS,0.818,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_CTA,ROC,0.929,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_CTA,TSS,0.816,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MARS,ROC,0.943,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MARS,TSS,0.86,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GLM,ROC,0.921,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GLM,TSS,0.786,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GBM,ROC,0.947,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GBM,TSS,0.873,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GAM,ROC,0.938,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GAM,TSS,0.817,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_RF,ROC,0.955,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_RF,TSS,0.892,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_ANN,ROC,0.971,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_ANN,TSS,0.882,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MAXENT.Phillips,ROC,0.771,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MAXENT.Phillips,TSS,0.529,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_CTA,ROC,0.856,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_CTA,TSS,0.755,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MARS,ROC,0.934,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MARS,TSS,0.82,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GLM,ROC,0.962,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GLM,TSS,0.881,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GBM,ROC,0.987,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GBM,TSS,0.907,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GAM,ROC,0.99,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GAM,TSS,0.935,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_RF,ROC,0.989,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_RF,TSS,0.935,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_ANN,ROC,0.98,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_ANN,TSS,0.945,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MAXENT.Phillips,ROC,0.953,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MAXENT.Phillips,TSS,0.885,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_CTA,ROC,0.946,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_CTA,TSS,0.89,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MARS,ROC,0.983,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MARS,TSS,0.918,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GLM,ROC,0.949,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GLM,TSS,0.886,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GBM,ROC,0.974,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GBM,TSS,0.918,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GAM,ROC,0.972,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GAM,TSS,0.912,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_RF,ROC,0.98,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_RF,TSS,0.909,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_ANN,ROC,0.974,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_ANN,TSS,0.914,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MAXENT.Phillips,ROC,0.937,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MAXENT.Phillips,TSS,0.852,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_CTA,ROC,0.895,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_CTA,TSS,0.778,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MARS,ROC,0.973,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MARS,TSS,0.918,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GLM,ROC,0.989,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GLM,TSS,0.932,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GBM,ROC,0.953,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GBM,TSS,0.887,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GAM,ROC,0.964,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GAM,TSS,0.9,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_RF,ROC,0.965,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_RF,TSS,0.873,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_ANN,ROC,0.977,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_ANN,TSS,0.932,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MAXENT.Phillips,ROC,0.903,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MAXENT.Phillips,TSS,0.795,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_CTA,ROC,0.927,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_CTA,TSS,0.841,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MARS,ROC,0.97,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MARS,TSS,0.892,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,KAPPA,0.812,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,TSS,0.862,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,ROC,0.961,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,KAPPA,0.746,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,TSS,0.861,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,ROC,0.954,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,KAPPA,0.888,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,TSS,0.917,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,ROC,0.986,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,KAPPA,0.87,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,TSS,0.909,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,ROC,0.979,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,KAPPA,0.893,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,TSS,0.941,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,ROC,0.98,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GLM,boyce,0.795,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GBM,boyce,0.848,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GAM,boyce,0.608,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_RF,boyce,0.87,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_ANN,boyce,0.735,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MAXENT.Phillips,boyce,0.491,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_CTA,boyce,0.671,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MARS,boyce,0.654,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GLM,boyce,0.607,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GBM,boyce,0.193,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GAM,boyce,0.207,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_RF,boyce,0.52,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_ANN,boyce,0.664,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MAXENT.Phillips,boyce,0.359,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_CTA,boyce,0.469,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MARS,boyce,0.421,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GLM,boyce,0.833,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GBM,boyce,0.82,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GAM,boyce,0.954,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_RF,boyce,0.839,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_ANN,boyce,0.345,Salamandra_atra_north
