model,metric,value,taxon
Salamandra.atra.south_AllData_RUN1_GLM,ROC,0.951,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GLM,TSS,0.878,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GBM,ROC,0.983,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GBM,TSS,0.893,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GAM,ROC,0.932,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GAM,TSS,0.867,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_RF,ROC,0.979,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_RF,TSS,0.893,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_ANN,ROC,0.983,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_ANN,TSS,0.893,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MAXENT.Phillips,ROC,0.722,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MAXENT.Phillips,TSS,0.444,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_CTA,ROC,0.795,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_CTA,TSS,0.553,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MARS,ROC,0.942,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MARS,TSS,0.893,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GLM,ROC,0.995,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GLM,TSS,0.98,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GBM,ROC,0.99,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GBM,TSS,0.929,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GAM,ROC,0.775,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GAM,TSS,0.55,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_RF,ROC,0.996,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_RF,TSS,0.95,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_ANN,ROC,0.907,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_ANN,TSS,0.8,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MAXENT.Phillips,ROC,0.78,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MAXENT.Phillips,TSS,0.56,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_CTA,ROC,0.801,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_CTA,TSS,0.735,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MARS,ROC,0.911,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MARS,TSS,0.805,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GLM,ROC,0.982,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GLM,TSS,0.87,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GBM,ROC,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GBM,TSS,0.887,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GAM,ROC,0.834,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GAM,TSS,0.669,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_RF,ROC,0.983,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_RF,TSS,0.875,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_ANN,ROC,0.974,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_ANN,TSS,0.822,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MAXENT.Phillips,ROC,0.808,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MAXENT.Phillips,TSS,0.617,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_CTA,ROC,0.811,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_CTA,TSS,0.632,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MARS,ROC,0.976,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MARS,TSS,0.901,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GLM,ROC,0.997,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GLM,TSS,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GBM,ROC,0.996,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GBM,TSS,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GAM,ROC,0.997,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GAM,TSS,0.995,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_RF,ROC,0.993,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_RF,TSS,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_ANN,ROC,0.997,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_ANN,TSS,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MAXENT.Phillips,ROC,0.829,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MAXENT.Phillips,TSS,0.657,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_CTA,ROC,0.994,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_CTA,TSS,0.986,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MARS,ROC,0.993,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MARS,TSS,0.977,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GLM,ROC,0.978,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GLM,TSS,0.905,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GBM,ROC,0.993,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GBM,TSS,0.984,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GAM,ROC,0.745,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GAM,TSS,0.489,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_RF,ROC,0.997,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_RF,TSS,0.995,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_ANN,ROC,0.961,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_ANN,TSS,0.695,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MAXENT.Phillips,ROC,0.682,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MAXENT.Phillips,TSS,0.364,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_CTA,ROC,0.8,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_CTA,TSS,0.609,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MARS,ROC,0.987,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MARS,TSS,0.911,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN1_AllData,KAPPA,0.823,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN1_AllData,TSS,0.893,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN1_AllData,ROC,0.972,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN2_AllData,KAPPA,0.86,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN2_AllData,TSS,0.965,Salamandra_atra_south
