algorithm,fold,TSS,AUC,taxon
GLM,RUN1,0.878,0.951,Salamandra_atra_south
GLM,RUN2,0.98,0.995,Salamandra_atra_south
GLM,RUN3,0.87,0.982,Salamandra_atra_south
GLM,RUN4,0.986,0.997,Salamandra_atra_south
GLM,RUN5,0.905,0.978,Salamandra_atra_south
GBM,RUN1,0.893,0.983,Salamandra_atra_south
GBM,RUN2,0.929,0.99,Salamandra_atra_south
GBM,RUN3,0.887,0.986,Salamandra_atra_south
GBM,RUN4,0.986,0.996,Salamandra_atra_south
GBM,RUN5,0.984,0.993,Salamandra_atra_south
GAM,RUN1,0.867,0.932,Salamandra_atra_south
GAM,RUN2,0.55,0.775,Salamandra_atra_south
GAM,RUN3,0.669,0.834,Salamandra_atra_south
GAM,RUN4,0.995,0.997,Salamandra_atra_south
GAM,RUN5,0.489,0.745,Salamandra_atra_south
RF,RUN1,0.893,0.979,Salamandra_atra_south
RF,RUN2,0.95,0.996,Salamandra_atra_south
RF,RUN3,0.875,0.983,Salamandra_atra_south
RF,RUN4,0.986,0.993,Salamandra_atra_south
RF,RUN5,0.995,0.997,Salamandra_atra_south
ANN,RUN1,0.893,0.983,Salamandra_atra_south
ANN,RUN2,0.8,0.907,Salamandra_atra_south
ANN,RUN3,0.822,0.974,Salamandra_atra_south
ANN,RUN4,0.986,0.997,Salamandra_atra_south
ANN,RUN5,0.695,0.961,Salamandra_atra_south
MAXENT.Phillips,RUN1,0.444,0.722,Salamandra_atra_south
MAXENT.Phillips,RUN2,0.56,0.78,Salamandra_atra_south
MAXENT.Phillips,RUN3,0.617,0.808,Salamandra_atra_south
MAXENT.Phillips,RUN4,0.657,0.829,Salamandra_atra_south
MAXENT.Phillips,RUN5,0.364,0.682,Salamandra_atra_south
CTA,RUN1,0.553,0.795,Salamandra_atra_south
CTA,RUN2,0.735,0.801,Salamandra_atra_south
CTA,RUN3,0.632,0.811,Salamandra_atra_south
CTA,RUN4,0.986,0.994,Salamandra_atra_south
CTA,RUN5,0.609,0.8,Salamandra_atra_south
MARS,RUN1,0.893,0.942,Salamandra_atra_south
MARS,RUN2,0.805,0.911,Salamandra_atra_south
MARS,RUN3,0.901,0.976,Salamandra_atra_south
MARS,RUN4,0.977,0.993,Salamandra_atra_south
MARS,RUN5,0.911,0.987,Salamandra_atra_south
