variable_name,algorithm,fold,variable_importance
CHELSA_bio_03,GLM,RUN1,0.054
CHELSA_bio_05,GLM,RUN1,0
CHELSA_bio_06,GLM,RUN1,0.023
CHELSA_bio_08,GLM,RUN1,0.022
CHELSA_bio_09,GLM,RUN1,0.858
CHELSA_bio_13,GLM,RUN1,0.794
CHELSA_bio_14,GLM,RUN1,0.267
CHELSA_bio_15,GLM,RUN1,0.323
CHELSA_bio_03,GBM,RUN1,0.222
CHELSA_bio_05,GBM,RUN1,0.007
CHELSA_bio_06,GBM,RUN1,0.002
CHELSA_bio_08,GBM,RUN1,0.149
CHELSA_bio_09,GBM,RUN1,0.617
CHELSA_bio_13,GBM,RUN1,0.015
CHELSA_bio_14,GBM,RUN1,0.002
CHELSA_bio_15,GBM,RUN1,0.027
CHELSA_bio_03,GAM,RUN1,0.363
CHELSA_bio_05,GAM,RUN1,0.09
CHELSA_bio_06,GAM,RUN1,0.561
CHELSA_bio_08,GAM,RUN1,0.117
CHELSA_bio_09,GAM,RUN1,0.314
CHELSA_bio_13,GAM,RUN1,0.514
CHELSA_bio_14,GAM,RUN1,0.216
CHELSA_bio_15,GAM,RUN1,0.208
CHELSA_bio_03,RF,RUN1,0.125
CHELSA_bio_05,RF,RUN1,0.035
CHELSA_bio_06,RF,RUN1,0.07
CHELSA_bio_08,RF,RUN1,0.113
CHELSA_bio_09,RF,RUN1,0.265
CHELSA_bio_13,RF,RUN1,0.025
CHELSA_bio_14,RF,RUN1,0.011
CHELSA_bio_15,RF,RUN1,0.037
CHELSA_bio_03,ANN,RUN1,0.103
CHELSA_bio_05,ANN,RUN1,0.317
CHELSA_bio_06,ANN,RUN1,0.254
CHELSA_bio_08,ANN,RUN1,0.025
CHELSA_bio_09,ANN,RUN1,0.635
CHELSA_bio_13,ANN,RUN1,0.812
CHELSA_bio_14,ANN,RUN1,0.338
CHELSA_bio_15,ANN,RUN1,0.505
CHELSA_bio_03,MAXENT.Phillips,RUN1,0.38
CHELSA_bio_05,MAXENT.Phillips,RUN1,0.038
CHELSA_bio_06,MAXENT.Phillips,RUN1,0.347
CHELSA_bio_08,MAXENT.Phillips,RUN1,0.181
CHELSA_bio_09,MAXENT.Phillips,RUN1,0.412
CHELSA_bio_13,MAXENT.Phillips,RUN1,0.098
CHELSA_bio_14,MAXENT.Phillips,RUN1,0.054
CHELSA_bio_15,MAXENT.Phillips,RUN1,0.076
CHELSA_bio_03,CTA,RUN1,0.428
CHELSA_bio_05,CTA,RUN1,0.016
CHELSA_bio_06,CTA,RUN1,0
CHELSA_bio_08,CTA,RUN1,0.282
CHELSA_bio_09,CTA,RUN1,0.671
CHELSA_bio_13,CTA,RUN1,0.048
CHELSA_bio_14,CTA,RUN1,0.021
CHELSA_bio_15,CTA,RUN1,0.011
CHELSA_bio_03,MARS,RUN1,0
CHELSA_bio_05,MARS,RUN1,0
CHELSA_bio_06,MARS,RUN1,0
CHELSA_bio_08,MARS,RUN1,0.312
CHELSA_bio_09,MARS,RUN1,0.71
CHELSA_bio_13,MARS,RUN1,0.406
